Produk,Rating,Ulasan,Clean_Ulasan,Sentiment,Word_Count,Char_Count,Length_Category
Xiaomi Smart Air Purifier 4 Compact,5,No komplain unitnya baik dan berfungsi,no komplain unitnya baik dan berfungsi,Positif,6,38,Singkat (4–8 kata)
Xiaomi REDMI Pad 2 9.7 (4GB/64GB),5,Dapat harga promo semoga awet,dapat harga promo semoga awet,Positif,5,29,Singkat (4–8 kata)
Xiaomi Power Bank 22.5W 10000mAh Lite,5,bagus,bagus,Positif,1,5,Sangat Singkat (≤3 kata)
Xiaomi Redmi Buds 6 Play,5,"packing aman, informasi produk ga dicantumin di paketnya ((love bangettt)), prosesnya cepet, kualitas audio oke, baterai awet (damn kaget) soalnya pemakaian dari jam 7 sa...",packing aman informasi produk ga dicantumin di paketnya love bangettt prosesnya cepet kualitas audio oke baterai awet damn kaget soalnya pemakaian dari jam 7 sa,Positif,25,173,Panjang (>15 kata)
Xiaomi Kabel Type-A to Type-C 6A,5,rekomendasi,rekomendasi,Positif,1,11,Sangat Singkat (≤3 kata)
Xiaomi Smart Camera C301,5,"Barang sesuai, dapat digunakan dengan baik, recommend",barang sesuai dapat digunakan dengan baik recommend,Positif,7,53,Singkat (4–8 kata)
POCO Pad X1 (8GB/512GB),5,gahar kak,gahar kak,Positif,2,9,Sangat Singkat (≤3 kata)
Xiaomi Kabel Type-A to Type-C 6A,5,barang sampai dengan aman dan berfungsi dengan baik.,barang sampai dengan aman dan berfungsi dengan baik,Positif,8,52,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,Alhamdulillah mendarat dengan aman . awet2 deh ya .. suka banget sm warna violetnya 😍 uda coba kameranya jg oke banget ..,alhamdulillah mendarat dengan aman awet2 deh ya suka banget sm warna violetnya uda coba kameranya jg oke banget,Positif,18,121,Panjang (>15 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,"barang smpai dengan baik..aman dan ga da kerusakan sama sekali
barang sesuai dengan pesanan
pokokny the best.....",barang smpai dengan baik aman dan ga da kerusakan sama sekali barang sesuai dengan pesanan pokokny the best,Positif,18,113,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"Bagus original cuma packing agak ngeri, untung barang aman 👍",bagus original cuma packing agak ngeri untung barang aman,Positif,9,60,Sedang (9–15 kata)
Xiaomi Redmi 15 (8/128) (8/256),5,bagus,bagus,Positif,1,5,Sangat Singkat (≤3 kata)
Xiaomi Mijia Mesin Cuci Front Load Washer Dryer 10.5kg,5,"Barang sampai dengan baik, pelayanan cepat, terima kasih",barang sampai dengan baik pelayanan cepat terima kasih,Positif,8,56,Singkat (4–8 kata)
Mijia Smart Air Purifier 6,5,"pastinya ori, belinya juga di mall ori",pastinya ori belinya juga di mall ori,Positif,7,38,Singkat (4–8 kata)
Xiaomi Redmi Note 15 (6/128 GB),5,segel mantap cepat dlm pengiriman.,segel mantap cepat dlm pengiriman,Positif,5,34,Singkat (4–8 kata)
Xiaomi TV A 32,5,Good,good,Positif,1,4,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"barang ori, packing aman mantapp",barang ori packing aman mantapp,Positif,5,32,Singkat (4–8 kata)
POCO C71 4+4G/128G,5,Oke original,oke original,Positif,2,12,Sangat Singkat (≤3 kata)
POCO X7 Pro 5G,5,Original,original,Positif,1,8,Sangat Singkat (≤3 kata)
Xiaomi Redmi Note 15 (8/128 GB) (8/256 GB),5,"produk sudah di terima, terima kasih seller",produk sudah di terima terima kasih seller,Positif,7,43,Singkat (4–8 kata)
POCO M7 Pro 5G (8/256G),5,"Produk yg diterima sesuai deskripsi iklan, varian dan jumlah pesanan, pengemasan  cukup baik, dan penjual responsif..  semoga awet, thanks!",produk yg diterima sesuai deskripsi iklan varian dan jumlah pesanan pengemasan cukup baik dan penjual responsif semoga awet thanks,Positif,19,139,Panjang (>15 kata)
POCO X8 Pro Series,5,"barang bagus, original. yang ga bagus ekspedisinya
but overall mantab",barang bagus original yang ga bagus ekspedisinya but overall mantab,Positif,10,69,Sedang (9–15 kata)
Xiaomi TV A Pro 65 2026,5,Barang sudah sampai sesuai dengan pesanan. Semoga awet dan berfungsi dengan baik.,barang sudah sampai sesuai dengan pesanan semoga awet dan berfungsi dengan baik,Positif,12,81,Sedang (9–15 kata)
POCO Pad X1 (8GB/512GB),5,"barang cepat sampai, kwalitas terjamin, manatab",barang cepat sampai kwalitas terjamin manatab,Positif,6,47,Singkat (4–8 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,Barang msh tersegel dg rapih  HP berfungsi dengan baik,barang msh tersegel dg rapih hp berfungsi dengan baik,Positif,9,54,Sedang (9–15 kata)
POCO Pad X1 (8GB/512GB),5,"Kualitas original, sejauh ini bagus, semua fitur berfungsi normal, terima kasih yah.",kualitas original sejauh ini bagus semua fitur berfungsi normal terima kasih yah,Positif,12,84,Sedang (9–15 kata)
POCO X7 Pro 5G,5,"paket sesuai pesanan..
pengiriman + packing aman.
mantap",paket sesuai pesanan pengiriman packing aman mantap,Positif,7,56,Singkat (4–8 kata)
Xiaomi Redmi A7 Pro (4+64 GB) (4+128 GB),5,"mantap, gede bgt layarnya.... hadiah buat anakku... semoga dia suka.... ada video unboxingnya, tp kepanjangan, gak bisa diupload.... thank xiaomi",mantap gede bgt layarnya hadiah buat anakku semoga dia suka ada video unboxingnya tp kepanjangan gak bisa diupload thank xiaomi,Positif,20,145,Panjang (>15 kata)
Mi 33W Wall Charger (Type-A + Type-C),5,puas bingits. barang ORI dan berkualitas. built quality handal.,puas bingits barang ori dan berkualitas built quality handal,Positif,9,63,Sedang (9–15 kata)
POCO C71 4+4G/128G,5,original,original,Positif,1,8,Sangat Singkat (≤3 kata)
Xiaomi Redmi Pad 2 Series,5,"sudah kucoba, rekomendasi banget untuk kalian para siswa dan mahasiswa dan konten kreator, baarakallahu fiikum",sudah kucoba rekomendasi banget untuk kalian para siswa dan mahasiswa dan konten kreator baarakallahu fiikum,Positif,15,110,Sedang (9–15 kata)
Xiaomi Redmi Note 14 5G,5,"Barang masih segel pabrik, mulus, dan bergaransi resmi.",barang masih segel pabrik mulus dan bergaransi resmi,Positif,8,55,Singkat (4–8 kata)
POCO X8 Pro Series,5,Alhamdulillah kebagian harga awal launching.,alhamdulillah kebagian harga awal launching,Positif,5,44,Singkat (4–8 kata)
POCO F7 (12/512GB),5,"Barang masih segel, original dan bergaransi resmi. Terima kasih.",barang masih segel original dan bergaransi resmi terima kasih,Positif,9,64,Sedang (9–15 kata)
Xiaomi Redmi Note 14 5G,4,Barang original dan bergaransi resmi. Terima kasih.,barang original dan bergaransi resmi terima kasih,Positif,7,51,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"mantab, proses sangat cepat, packing aman jaya..
makasi xiaomi..",mantab proses sangat cepat packing aman jaya makasi xiaomi,Positif,9,64,Sedang (9–15 kata)
POCO X8 Pro Series,5,"Penjual amanah dan responsif. Barang bagus realpict sesuai dengan pesanan, aman sudah di tes. Sgt puas dg produknya, pengiriman cepet. Barakallah... 👍👍👍👍👍",penjual amanah dan responsif barang bagus realpict sesuai dengan pesanan aman sudah di tes sgt puas dg produknya pengiriman cepet barakallah,Positif,21,154,Panjang (>15 kata)
Xiaomi Redmi Note 15 Pro 5G (8/256GB) (12/512GB),5,Alhamdulillah masih segel. aman. awet sampe 5th +±,alhamdulillah masih segel aman awet sampe 5th,Positif,7,50,Singkat (4–8 kata)
Xiaomi Smart Camera C301 CCTV Indoor,5,👍🏼,,Positif,0,2,Sangat Singkat (≤3 kata)
Xiaomi REDMI Watch 6,5,sangat bagus Dan berfungsi dengan baik,sangat bagus dan berfungsi dengan baik,Positif,6,38,Singkat (4–8 kata)
POCO X8 Pro Series,5,produk aman dan selamat,produk aman dan selamat,Positif,4,23,Singkat (4–8 kata)
Xiaomi Nose Hair Trimmer,5,"berfungsi dengan baik, walaupun ga sebagus ekspektasi kecepatan mencukurnya dan hasilnya",berfungsi dengan baik walaupun ga sebagus ekspektasi kecepatan mencukurnya dan hasilnya,Positif,11,88,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,"Produk masih segel, barang sesuai dengan pesanan, barang sampai tujuan dengan aman.",produk masih segel barang sesuai dengan pesanan barang sampai tujuan dengan aman,Positif,12,83,Sedang (9–15 kata)
Mi 33W Wall Charger (Type-A + Type-C),5,"Barang masih disegel, dan berfungsi dengan baik. Kualitas produk original. Terima kasih barang sudah sampai dengan selamat di tujuan.",barang masih disegel dan berfungsi dengan baik kualitas produk original terima kasih barang sudah sampai dengan selamat di tujuan,Positif,19,133,Panjang (>15 kata)
POCO X7 Pro 5G,5,makasih aku suka,makasih aku suka,Positif,3,16,Sangat Singkat (≤3 kata)
Xiaomi 17 (12GB/256GB) (12GB/512GB),5,"Terima kasih, sorry late buat respon. pengirimannya cepet dan sangat aman.
terima kasih",terima kasih sorry late buat respon pengirimannya cepet dan sangat aman terima kasih,Positif,13,87,Sedang (9–15 kata)
Xiaomi Smart Camera C301,5,"sesuai display, bagur ,origina, 
pembelia ke 2 total 4 pcs",sesuai display bagur origina pembelia ke 2 total 4 pcs,Positif,10,58,Sedang (9–15 kata)
POCO X7 Pro 5G,5,sesuai orderan terimakasih,sesuai orderan terimakasih,Positif,3,26,Sangat Singkat (≤3 kata)
POCO X7 Pro 5G,5,BNIB Original,bnib original,Positif,2,13,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,"Alhamdullilah barang benar-benar sampai dengan selamat dan kondisinya baik, syukur juga dapat Kurir yang sangat ramah dan amanah... puas banget pokoknya sama produk ini",alhamdullilah barang benar benar sampai dengan selamat dan kondisinya baik syukur juga dapat kurir yang sangat ramah dan amanah puas banget pokoknya sama produk ini,Positif,25,168,Panjang (>15 kata)
Xiaomi Earphone Tipe-C,5,produk sesuai deskripsi dan penjual responsif. Kualitas produk mantep di kelasnya,produk sesuai deskripsi dan penjual responsif kualitas produk mantep di kelasnya,Positif,11,81,Sedang (9–15 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,bagus. sesuai ekspetasi. semua berfungsi normal,bagus sesuai ekspetasi semua berfungsi normal,Positif,6,47,Singkat (4–8 kata)
Xiaomi 33W Power Bank 20.000 mAh,5,"pembelian kedua setelah yang sebelumnya ada recall karena pembelian 2024 dapet yang produksi 07/2024, dan setelah tau ada recall, segera urus, walaupun PB gda masalah, ta...",pembelian kedua setelah yang sebelumnya ada recall karena pembelian 2024 dapet yang produksi 07 2024 dan setelah tau ada recall segera urus walaupun pb gda masalah ta,Positif,27,173,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,mantab lah,mantab lah,Positif,2,10,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"Barang sesuai dengan pesanan, packing aman... sampai dgn selamat.

Xiaomi 17T dan Redmi Neo nya sudah di test dan berfungsi dgn baik. Mantab lah..",barang sesuai dengan pesanan packing aman sampai dgn selamat xiaomi 17t dan redmi neo nya sudah di test dan berfungsi dgn baik mantab lah,Positif,24,146,Panjang (>15 kata)
Xiaomi Smart Band 10,5,sesuai amanah😁,sesuai amanah,Positif,2,14,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,asli dan bergaransi resmi..,asli dan bergaransi resmi,Positif,4,27,Singkat (4–8 kata)
POCO X8 Pro Series,5,"barang ori,seller Amanah,trusted",barang ori seller amanah trusted,Positif,5,32,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"Barang sesuai.. bonus nya ada.. pengiriman cepat, packing aman",barang sesuai bonus nya ada pengiriman cepat packing aman,Positif,9,62,Sedang (9–15 kata)
Xiaomi Polarized Fitover Sunglasses,5,Senin order kamis diterima. Packing bagus. Barang bagus. Terimakasih,senin order kamis diterima packing bagus barang bagus terimakasih,Positif,9,68,Sedang (9–15 kata)
Xiaomi Temperature and Humidity Monitor 3,5,Senin order kamis diterima. Packing bagus. Barang bagus. Terimakasih,senin order kamis diterima packing bagus barang bagus terimakasih,Positif,9,68,Sedang (9–15 kata)
Xiaomi Smart Camera C301,5,Senin order kamis diterima. Packing bagus. Barang bagus. Terimakasih,senin order kamis diterima packing bagus barang bagus terimakasih,Positif,9,68,Sedang (9–15 kata)
Xiaomi Electric Shaver S200,5,Senin order kamis diterima. Packing bagus. Barang bagus. Terimakasih,senin order kamis diterima packing bagus barang bagus terimakasih,Positif,9,68,Sedang (9–15 kata)
Xiaomi TV A Pro 32 2026,5,Nice Google TV,nice google tv,Positif,3,14,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,ok,ok,Positif,1,2,Sangat Singkat (≤3 kata)
Xiaomi Outdoor Camera CW300,5,barang tiba dengan bagus dan sesuai dengan pesanana kualitas bagus,barang tiba dengan bagus dan sesuai dengan pesanana kualitas bagus,Positif,10,66,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,"fast respon, barang diterima dengan baik. kurir amanah. pengemasan aman. dapat free headset. thx seller.",fast respon barang diterima dengan baik kurir amanah pengemasan aman dapat free headset thx seller,Positif,15,104,Sedang (9–15 kata)
Xiaomi Power Bank 22.5W 10000mAh Lite,4,Barang berfungsi dengan baik. Good,barang berfungsi dengan baik good,Positif,5,34,Singkat (4–8 kata)
Xiaomi TV Box S (3rd Gen),5,sesuai ekspektasi. Barang bekerja dengan baik! semoga awet deh,sesuai ekspektasi barang bekerja dengan baik semoga awet deh,Positif,9,62,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,Pengiriman Aman,pengiriman aman,Positif,2,15,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,Barang Sampai Dengan Aman,barang sampai dengan aman,Positif,4,25,Singkat (4–8 kata)
Xiaomi Gaming Monitor G24i 2026,5,gg la xiaomi,gg la xiaomi,Positif,3,12,Sangat Singkat (≤3 kata)
Xiaomi Redmi Pad 2 Play Bundle (4GB/128GB),5,redmi pad nya bagus banget,redmi pad nya bagus banget,Positif,5,26,Singkat (4–8 kata)
Redmi Pad 2 Pro (6GB/128GB) (8GB/256GB),5,"nyaman banget ini redmi pad 2 pro, gak bohong, bikin kerjaan makin gampang",nyaman banget ini redmi pad 2 pro gak bohong bikin kerjaan makin gampang,Positif,13,74,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,"barang aman walaupun pengiriman agak2, gada bublewrap sampek dus headphone jebol",barang aman walaupun pengiriman agak2 gada bublewrap sampek dus headphone jebol,Positif,11,80,Sedang (9–15 kata)
Xiaomi TV A 32,5,alhamdulillah aman sampai tujuan,alhamdulillah aman sampai tujuan,Positif,4,32,Singkat (4–8 kata)
Xiaomi Redmi Pad 2 Play Bundle (4GB/128GB),5,Mantap dan amanah,mantap dan amanah,Positif,3,17,Sangat Singkat (≤3 kata)
Xiaomi Power Bank 22.5W 10000mAh Lite,5,"barang okee, FAST charging juga, semoga awet",barang okee fast charging juga semoga awet,Positif,7,44,Singkat (4–8 kata)
Xiaomi Redmi 15 (8/128) (8/256),5,"Barang mendarat dengan aman, packing cukup rapi dan barang setelah dicoba berfungsi dengan baik, semoga tidak ada kendala kedepannya👍👍👍",barang mendarat dengan aman packing cukup rapi dan barang setelah dicoba berfungsi dengan baik semoga tidak ada kendala kedepannya,Positif,19,135,Panjang (>15 kata)
Xiaomi TV Box S (3rd Gen),5,bagus banget,bagus banget,Positif,2,12,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,"Barangnya original, dan pengiriman nya cepat.",barangnya original dan pengiriman nya cepat,Positif,6,45,Singkat (4–8 kata)
Xiaomi Redmi Note 15 5G (8/256 GB) (12/512 GB),5,Sesuai ekpektasi dan pengiriman lebih cepat dari jadwal. Bonus juga sesuai,sesuai ekpektasi dan pengiriman lebih cepat dari jadwal bonus juga sesuai,Positif,11,74,Sedang (9–15 kata)
Xiaomi Redmi Buds 8 Active,5,orginal,orginal,Positif,1,7,Sangat Singkat (≤3 kata)
Mi WiFi Range Extender AC1200 High Speed,5,jossjisss blom dicoba,jossjisss blom dicoba,Positif,3,21,Sangat Singkat (≤3 kata)
Xiaomi Electric Shaver S200,5,Bagus,bagus,Positif,1,5,Sangat Singkat (≤3 kata)
Xiaomi Redmi Watch 5 Active,5,barangnya bagus dan modelnya elegan,barangnya bagus dan modelnya elegan,Positif,5,35,Singkat (4–8 kata)
Xiaomi Power Bank 22.5W 10000mAh Lite,5,"Barang masih segel,ada buku panduannya tapi kecil. Kualitas original punya. Sayang masih harus dicharge penuh dulu baru bisa dipakai. dapet bonus type C tapi cuma pendek....",barang masih segel ada buku panduannya tapi kecil kualitas original punya sayang masih harus dicharge penuh dulu baru bisa dipakai dapet bonus type c tapi cuma pendek,Positif,27,173,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"hp nya Ok, pengirman cepat, dapat bonus lagi
thx Xiaomi",hp nya ok pengirman cepat dapat bonus lagi thx xiaomi,Positif,10,55,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,"Hp nya kecil Diagonal
6,59 inchi. kalau terbiasa pakai 6,79 inchi. terasa kekecilan.
beratnya lumayan. padahal kecil. kalau ada rezeki lebih baiknya yg 17T Pro aja.
pengi...",hp nya kecil diagonal 6 59 inchi kalau terbiasa pakai 6 79 inchi terasa kekecilan beratnya lumayan padahal kecil kalau ada rezeki lebih baiknya yg 17t pro aja pengi,Positif,29,173,Panjang (>15 kata)
Xiaomi Redmi Buds 6 Play,5,"packing sangat aman. untuk kualitas bagus, tested.",packing sangat aman untuk kualitas bagus tested,Positif,7,50,Singkat (4–8 kata)
Xiaomi Pad 8 (8/256GB),5,beli pas promo 6.6. gak nyesel dah!,beli pas promo 6 6 gak nyesel dah,Positif,8,35,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"pengiriman sat set meskipun luar kota, dpt harga promo 7.2 it dan dpt bonus headphone pula. thank you tokped",pengiriman sat set meskipun luar kota dpt harga promo 7 2 it dan dpt bonus headphone pula thank you tokped,Positif,20,108,Panjang (>15 kata)
POCO Pad M1 (8GB/256GB),5,Mantap 👍,mantap,Positif,1,8,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,"paket aman sampai tujuan, langganan di official di jamin ORI. pengiriman cepat packing aman. hp gahar harga gempar",paket aman sampai tujuan langganan di official di jamin ori pengiriman cepat packing aman hp gahar harga gempar,Positif,18,114,Panjang (>15 kata)
Redmi Powerbank 18W,5,Barang telah diterima dalam kondisi baik & berfungsi dengan sangat baik. Recommended seller.,barang telah diterima dalam kondisi baik berfungsi dengan sangat baik recommended seller,Positif,12,92,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,"Alhamdulillah paket sampe dengan selamat,kondisi baik mudah-mudahan awet promo 6.6 thanks Xiaomi Indonesia",alhamdulillah paket sampe dengan selamat kondisi baik mudah mudahan awet promo 6 6 thanks xiaomi indonesia,Positif,16,106,Panjang (>15 kata)
Xiaomi Kabel Type-A to Type-C 6A,5,"Sampai lebih cepat dari perkiraan, Dan berfungsi dengan baik. Dengan charger ori Xiaomi 14T bisa buat fast charging 67w.",sampai lebih cepat dari perkiraan dan berfungsi dengan baik dengan charger ori xiaomi 14t bisa buat fast charging 67w,Positif,19,120,Panjang (>15 kata)
Xiaomi Power Bank 22.5W 10000mAh Lite,5,berfungsi sangat baik 👍🏻,berfungsi sangat baik,Positif,3,24,Sangat Singkat (≤3 kata)
Xiaomi Outdoor Camera CW100 Dual,5,"Mantap, sudah terpasang dengan baik 👌",mantap sudah terpasang dengan baik,Positif,5,37,Singkat (4–8 kata)
Xiaomi Redmi 15 (8/128) (8/256),5,barang bagus ok mantap,barang bagus ok mantap,Positif,4,22,Singkat (4–8 kata)
Xiaomi Redmi Watch 5 Lite,5,"Keren, sesuai dengan harga 👍",keren sesuai dengan harga,Positif,4,28,Singkat (4–8 kata)
POCO X8 Pro Series,5,"barang masih tersegel dengan aman, cuma saran saya packaging nya lebih safe lagi untuk menghindari terjadinya hal yg tidak diinginkan. barang oke pengiriman cepat, mantap...",barang masih tersegel dengan aman cuma saran saya packaging nya lebih safe lagi untuk menghindari terjadinya hal yg tidak diinginkan barang oke pengiriman cepat mantap,Positif,25,173,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),4,barang di terima kondisi msh tersegel dgn baik hanya utk packagingnya kurang aman karna selotip nya hanya sekadarnya shg gampang terbuka baik di sengaja ataupun tidak sen...,barang di terima kondisi msh tersegel dgn baik hanya utk packagingnya kurang aman karna selotip nya hanya sekadarnya shg gampang terbuka baik di sengaja ataupun tidak sen,Positif,27,173,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"Mantap udah sampe, walau agak lama di kirim ama seller nya",mantap udah sampe walau agak lama di kirim ama seller nya,Positif,11,58,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,barang sesuai dapat bonus pulsa good,barang sesuai dapat bonus pulsa good,Positif,6,36,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"Sangat puas belanja di sini! Paket Xiaomi 17T sudah diterima dengan aman dan cepat. Beli pas promo 6.6, dapat bonus headphone juga 🎧 Semua sesuai deskripsi, barang origi...",sangat puas belanja di sini paket xiaomi 17t sudah diterima dengan aman dan cepat beli pas promo 6 6 dapat bonus headphone juga semua sesuai deskripsi barang origi,Positif,28,172,Panjang (>15 kata)
Xiaomi 17T (12GB+512GB),5,"waktu pengiriman cepat, isi barang dalam packing terjaga dengan baik dan aman",waktu pengiriman cepat isi barang dalam packing terjaga dengan baik dan aman,Positif,12,77,Sedang (9–15 kata)
Xiaomi TV A Pro 32 2026,5,"ori, cepat, bagus, tv digital bagus semua 42 chanel gak ada burik nya
semoga awet",ori cepat bagus tv digital bagus semua 42 chanel gak ada burik nya semoga awet,Positif,15,81,Sedang (9–15 kata)
Xiaomi 67W Power Bank 20000mAh (Integrated Cable),5,dpt harga 450 hehe smga awet,dpt harga 450 hehe smga awet,Positif,6,28,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"Barang tersegel dgn rapih, packing aman dgn kardus dan buble wrap gelembung yg besar. Bonusnya mantaap, dapat harga discount. Semoga barang awet & bermanfaat. Berkah....",barang tersegel dgn rapih packing aman dgn kardus dan buble wrap gelembung yg besar bonusnya mantaap dapat harga discount semoga barang awet bermanfaat berkah,Positif,24,169,Panjang (>15 kata)
Xiaomi Redmi Buds 6 Play,1,"Baru beli 1 bulan udah mati yang sebelah kiri, padahal engga pernah jatuh/ terkena air",baru beli 1 bulan udah mati yang sebelah kiri padahal engga pernah jatuh terkena air,Negatif,15,86,Sedang (9–15 kata)
POCO X8 Pro Series,5,Barang bagus oriii,barang bagus oriii,Positif,3,18,Sangat Singkat (≤3 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,"sesuai deskripsi, semoga awet",sesuai deskripsi semoga awet,Positif,4,29,Singkat (4–8 kata)
Xiaomi Nose Hair Trimmer,5,Barang bagus sdh dicoba moga awetttt,barang bagus sdh dicoba moga awetttt,Positif,6,36,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,Alhamdulillah mantapp... Minus packing Xiaomi official yg seringkali mengkhawatirkan -_-,alhamdulillah mantapp minus packing xiaomi official yg seringkali mengkhawatirkan,Positif,9,88,Sedang (9–15 kata)
Xiaomi TV A Pro 43 2026,5,"Sampai dengan aman, barang mantap",sampai dengan aman barang mantap,Positif,5,33,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,gak rugi deh nungguin flash sale xiaomi 17t di tokopedia. barang nyampe packingan aman. dapat bonus redmi headphone neo juga. harga paling murah n cuan banget. thanks tok...,gak rugi deh nungguin flash sale xiaomi 17t di tokopedia barang nyampe packingan aman dapat bonus redmi headphone neo juga harga paling murah n cuan banget thanks tok,Positif,28,173,Panjang (>15 kata)
Xiaomi Redmi Note 15 5G (6/128 GB),5,aman dan rekomendasi,aman dan rekomendasi,Positif,3,20,Sangat Singkat (≤3 kata)
Xiaomi Redmi Buds 6 Play,5,aman dan rekomendasi,aman dan rekomendasi,Positif,3,20,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,barang original dan berfungsi dengan baik,barang original dan berfungsi dengan baik,Positif,6,41,Singkat (4–8 kata)
Xiaomi Pad 8 (8/256GB),5,dapet harga diskon.. lumayan bisa dpake anak tuk belajar,dapet harga diskon lumayan bisa dpake anak tuk belajar,Positif,9,56,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),1,"ga paham pdhal dari tangerang ke jakarta deket tapi kerusakan paket bisa sampai sebegininya, gatau yg packingnya kurang bagus atau kurir2nya yg ngebanting2 ga amanah kaya...",ga paham pdhal dari tangerang ke jakarta deket tapi kerusakan paket bisa sampai sebegininya gatau yg packingnya kurang bagus atau kurir2nya yg ngebanting2 ga amanah kaya,Negatif,26,173,Panjang (>15 kata)
Xiaomi Outdoor Camera CW100 Dual,5,trims,trims,Positif,1,5,Sangat Singkat (≤3 kata)
Xiaomi Redmi Note 15 (8/128 GB) (8/256 GB),5,terima kasih barang mendarat dengan selamat. dapat casing pulak. keren,terima kasih barang mendarat dengan selamat dapat casing pulak keren,Positif,10,70,Sedang (9–15 kata)
Xiaomi Redmi Note 15 (8/128 GB) (8/256 GB),5,barang ok bagus semua,barang ok bagus semua,Positif,4,21,Singkat (4–8 kata)
POCO C85 (6/128) (8/256),5,"Full segel saat sampai, barang bekerja sebagaimana mestinya. semoga awet",full segel saat sampai barang bekerja sebagaimana mestinya semoga awet,Positif,10,72,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,barang bagus dan harga masih promo plus ada bonusnya,barang bagus dan harga masih promo plus ada bonusnya,Positif,9,52,Sedang (9–15 kata)
POCO X7 Pro 5G,5,barang sesuai pesanan.... garansi resmi dan masih segel...,barang sesuai pesanan garansi resmi dan masih segel,Positif,8,58,Singkat (4–8 kata)
Xiaomi Pad 7 (8/256GB),3,"bubble wrap cuma 1 lapis padahal katanya 3 lapis, ini barang 5 juta knp packingnya miris sekali, apa bubble wrap mahal?? kalau perlu tambahkan bubble wrap di produk supay...",bubble wrap cuma 1 lapis padahal katanya 3 lapis ini barang 5 juta knp packingnya miris sekali apa bubble wrap mahal kalau perlu tambahkan bubble wrap di produk supay,Netral,29,173,Panjang (>15 kata)
Xiaomi Redmi Watch 5 Active,5,barang sudah sampai dan alhamdulilah berfungsi,barang sudah sampai dan alhamdulilah berfungsi,Positif,6,46,Singkat (4–8 kata)
Xiaomi Tag,5,datang sesuai pesanan berfungsi baik normal semoga awet,datang sesuai pesanan berfungsi baik normal semoga awet,Positif,8,55,Singkat (4–8 kata)
Xiaomi Pad 8 Pro (8/256GB) (12/512GB),5,sesuai deskripsi.barang mulus.mudah2an awet.,sesuai deskripsi barang mulus mudah2an awet,Positif,6,44,Singkat (4–8 kata)
POCO X8 Pro Series,5,barang dateng masih segel.. pengiriman cepat..,barang dateng masih segel pengiriman cepat,Positif,6,46,Singkat (4–8 kata)
POCO Pad M1 (8GB/256GB),4,"Barang good, packing hmmmmmmmmmm",barang good packing hmmmmmmmmmm,Positif,4,32,Singkat (4–8 kata)
POCO Pad X1 (8GB/512GB),5,"Sampai tujuan dengan selamat
thanks atmint 🤗🤗🤗🤗🤗🤗🤗",sampai tujuan dengan selamat thanks atmint,Positif,6,50,Singkat (4–8 kata)
POCO C71 4+4G/128G,5,sesuai pesanan pengiriman cepat berpungsi dengan baik pengemasan produk sangat baik,sesuai pesanan pengiriman cepat berpungsi dengan baik pengemasan produk sangat baik,Positif,11,83,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,"mantap 17t rekomen nggak nyesel dapat bonus pula dengan harga promo, korban 6.6 wkwkw",mantap 17t rekomen nggak nyesel dapat bonus pula dengan harga promo korban 6 6 wkwkw,Positif,15,85,Sedang (9–15 kata)
